Text,Label
Explain and justify a new budget.,Evaluation
Explain choices made in making recommendations to an end user.,Evaluation
"Given an argument on any position, enumerate the logical fallacies in that argument.",Evaluation
"Given the data available on a research question, take a position and defend it.",Evaluation
"Given the data we've looked at on this topic, evaluate how appropriate this conclusion is and defend your answer.",Evaluation
"Given the two solutions to the stated programming problem, rate the solutions in terms of efficiency and readability.",Evaluation
"Given three possible approaches to implement the defined system, discuss the possible advantages and disadvantages of each approach.",Evaluation
"Given two possible solutions, A and B, to solving the given software development problem, decide on the best solution. Give your justification.",Evaluation
How effective are . . .?,Evaluation
How would you decide about...?,Evaluation
How would you feel if . . .?,Evaluation
How would you have handled . . .?,Evaluation
"improved, reformed or rejected?",Evaluation
"In a given clinical situation, select the most reasonable intervention and predict the main effects and possible side effects.",Evaluation
Is there a better solution to . . .?,Evaluation
Judge aesthetic qualities and relationship to future values.,Evaluation
judge the difficulty level for yourself.,Evaluation
Judge the value of . . .?,Evaluation
Judge whether it would be possible to survive on an island alone and blinded. Write about it.,Evaluation
Judge whether Olympic Ideals are realistic or unrealistic for the contemporary elite athlete.,Evaluation
Justify and nominate ways to prevent animal extinction.,Evaluation
Justify the title To Kill a Mockingbird .,Evaluation
Listen to two classmates conversing on tape and critique their performance on the basis of the skills covered this semester.,Evaluation
Place the following in order of priority...,Evaluation
Predict what will happen next in.,Evaluation
Predict whether Phillip will ever go back to visit the Cay after several years of recovery. Assuming he gets his sight back.,Evaluation
Recommend how our classroom or playground could be improved.,Evaluation
Select the best proposal for a proposed water treatment plant.,Evaluation
Select the most effective solution.,Evaluation
suggest ways in which it could have responded more effectively,Evaluation
decide about the most exciting part of the book. being sure to give at least three reasons why?,Evaluation
Use a judge and jury to discuss the statement 'Children enjoy Anthony Browne's books because of the illustrations'.,Evaluation
"Using straight value depreciation, decide between two copper-nickel alloys for the design of a heat exchanger.",Evaluation
"Using the basic principles of socialism discussed in this course, evaluate the US economic system by providing key arguments to support your judgment.",Evaluation
Was Hemingway a great American writer? First you will need to define greatness.,Evaluation
What changes to . . . would you recommend?,Evaluation
What criteria would you use to assess the validity of a business contract?,Evaluation
What criteria would you use to assess...?,Evaluation
What do you think about . . .?,Evaluation
What is part of this book did you like best. Tell why you like it?,Evaluation
What is the most important...?,Evaluation
Which of the following actions would probably be least effective in determining the answer?,Evaluation
"Which of the two algorithms, bubblesort or quicksort, is more efficient? Justify your answer.",Evaluation
Would you have liked to have had Cinderella for a sister? Explain why or why not.,Evaluation
Write a list of criteria to judge the Willy raps.,Evaluation
Revise the story and specify the type of audience that would enjoy this book.,Evaluation
Estimate the epicentral coordinates of the earth-quake,Evaluation
Estimate the risk of serious illness for consumers in different susceptible population groups,Evaluation
Estimate expenditure on HIV/AIDS education,Evaluation
Estimate the difficulty of the question,Evaluation
Estimate roughly how long the collision process takes,Evaluation
What do you think is the best thing about coming to Viestal?,Evaluation
What do you think is the mass and why,Evaluation
What do you think are the strengths of using integrated math in your program?,Evaluation
Do you think that this statement conveys the idea that i am trying to portray,Evaluation
How do you think the community should grow or change,Evaluation
How Do You Think One Should Reason in Making Ethical Decisions in Business,Evaluation
